Issue Type,Summary,Epic Link,Description,Story Points,Priority,Labels,Components,Assignee
Story,Cloudflare R2 Integration,Smart Storage System,"## 📝 User Story
As a system admin, I want photos automatically uploaded to Cloudflare R2 so that we have fast global CDN delivery with zero egress costs.

## ✅ Acceptance Criteria
- [ ] Configure R2 bucket with proper CORS settings
- [ ] Implement upload API with error handling
- [ ] Generate public URLs for photo access
- [ ] Monitor storage usage and quotas
- [ ] Handle upload failures with retry logic
- [ ] Test with various image formats (JPG, RAW)

## 🧪 Testing Notes
- Test upload speed and reliability
- Verify CDN performance globally
- Check error handling scenarios",8,Highest,"storage,cloudflare,r2,api",Smart Storage Manager,
Story,Google Drive Backup System,Smart Storage System,"## 📝 User Story
As a photographer, I want automatic backup to Google Drive so that I have secure long-term storage for all event photos.

## ✅ Acceptance Criteria
- [ ] Setup Google Drive API authentication
- [ ] Create folder structure by event
- [ ] Implement batch upload for end-of-event backup
- [ ] Monitor backup progress and status
- [ ] Handle API rate limits and errors
- [ ] Verify backup integrity

## 🧪 Testing Notes
- Test with large photo batches
- Verify folder organization
- Check authentication flow",5,High,"storage,google-drive,backup,api",Smart Storage Manager,
Story,Local Storage Fallback,Smart Storage System,"## 📝 User Story
As a system admin, I want local storage fallback so that uploads continue working even if cloud services are unavailable.

## ✅ Acceptance Criteria
- [ ] Implement local storage tier
- [ ] Auto-fallback when cloud fails
- [ ] Monitor local disk usage
- [ ] Sync to cloud when available
- [ ] Cleanup old local files
- [ ] Alert on storage issues

## 🧪 Testing Notes
- Test fallback scenarios
- Verify sync behavior
- Check disk space management",3,Medium,"storage,local,fallback,reliability",Smart Storage Manager,
Story,Storage Analytics Dashboard,Smart Storage System,"## 📝 User Story
As an admin, I want storage analytics dashboard so that I can monitor usage, costs, and performance across all storage tiers.

## ✅ Acceptance Criteria
- [ ] Display storage usage by tier
- [ ] Show cost savings metrics
- [ ] Monitor upload/download speeds
- [ ] Track error rates and failures
- [ ] Generate usage reports
- [ ] Set up alerts for quotas

## 🧪 Testing Notes
- Verify real-time data updates
- Test alert thresholds
- Check report accuracy",5,Medium,"analytics,dashboard,monitoring",Web Dashboard,
Story,Auto Photo Detection,DSLR Auto Upload,"## 📝 User Story
As a photographer, I want new photos automatically detected from my DSLR so that I don't need to manually upload each photo.

## ✅ Acceptance Criteria
- [ ] Monitor DSLR folder for new files
- [ ] Detect JPG and RAW file formats
- [ ] Filter out non-photo files
- [ ] Trigger upload process immediately
- [ ] Show real-time detection notifications
- [ ] Handle multiple photos simultaneously

## 🧪 Testing Notes
- Test with various file formats
- Verify detection speed
- Check concurrent handling",5,High,"dslr,automation,detection,monitoring",DSLR Auto Upload,
Story,Real-time Upload Service,DSLR Auto Upload,"## 📝 User Story
As a photographer, I want photos uploaded in real-time so that guests can see new photos immediately during the event.

## ✅ Acceptance Criteria
- [ ] Upload photos within 30 seconds of detection
- [ ] Show upload progress notifications
- [ ] Handle upload queue management
- [ ] Retry failed uploads automatically
- [ ] Update web gallery in real-time
- [ ] Maintain upload history log

## 🧪 Testing Notes
- Test upload speed under load
- Verify queue management
- Check real-time updates",8,Highest,"upload,realtime,queue,performance",DSLR Auto Upload,
Story,Image Compression Pipeline,DSLR Auto Upload,"## 📝 User Story
As a system admin, I want automatic image compression so that we optimize storage usage and loading speed without sacrificing quality.

## ✅ Acceptance Criteria
- [ ] Compress images based on storage tier
- [ ] Generate multiple sizes (thumbnail, web, full)
- [ ] Maintain EXIF data for originals
- [ ] Optimize for web delivery
- [ ] Preserve image quality settings
- [ ] Monitor compression ratios

## 🧪 Testing Notes
- Test compression quality
- Verify size optimization
- Check EXIF preservation",5,High,"compression,optimization,image-processing",DSLR Auto Upload,
Story,Watermark Processing,DSLR Auto Upload,"## 📝 User Story
As a photographer, I want automatic watermark application so that my brand is protected on all shared photos.

## ✅ Acceptance Criteria
- [ ] Apply watermark to web-sized images
- [ ] Preserve original without watermark
- [ ] Configurable watermark position
- [ ] Maintain image quality
- [ ] Batch processing capability
- [ ] Skip watermark for thumbnails

## 🧪 Testing Notes
- Test watermark positioning
- Verify quality preservation
- Check batch performance",3,Medium,"watermark,branding,image-processing",DSLR Auto Upload,
Story,Event Creation & Setup,Event Management,"## 📝 User Story
As an admin, I want to create new photography events so that I can organize photos and provide guest access.

## ✅ Acceptance Criteria
- [ ] Create event with name, date, description
- [ ] Generate unique access code
- [ ] Set event status (active/archived)
- [ ] Configure photo upload settings
- [ ] Set guest access permissions
- [ ] Generate event URL

## 🧪 Testing Notes
- Test event creation flow
- Verify unique code generation
- Check access permissions",5,High,"events,crud,access-control",Event Management,
Story,QR Code Generation,Event Management,"## 📝 User Story
As a photographer, I want QR codes generated for each event so that guests can easily access their photos without typing URLs.

## ✅ Acceptance Criteria
- [ ] Generate QR code for event URL
- [ ] Include access code in QR data
- [ ] Provide downloadable QR image
- [ ] Support different QR sizes
- [ ] Test QR code scanning
- [ ] Print-ready format

## 🧪 Testing Notes
- Test QR scanning on various devices
- Verify URL encoding
- Check print quality",3,Medium,"qr-codes,sharing,mobile",Event Management,
